splitId,date,product,residualFirstOutcome,residualLatestOutcome,residualRows,usedSparseFallback,newObservedHistoryUsed,correctionP50,correctionP75
split-1,2023-07-09,12,2023-05-14,2023-07-08,53,False,True,0.37036991119384766,0.44496726989746094
split-1,2023-07-09,13,2023-05-14,2023-07-08,54,False,True,0.030385017395019531,-1.9869232177734375
split-1,2023-07-09,21,2023-05-14,2023-07-08,54,False,True,-0.11241340637207031,0.46571159362792969
split-1,2023-07-09,35,2023-05-14,2023-07-08,54,False,True,1.5157604217529297,2.6012110710144043
split-1,2023-07-09,82,2023-05-14,2023-07-08,54,False,True,1.8773946762084961,0.1813507080078125
split-1,2023-07-10,11,2023-05-15,2023-07-09,54,False,True,0.7971959114074707,-0.0090994834899902344
split-1,2023-07-10,12,2023-05-15,2023-07-09,53,False,True,0.37036991119384766,0.029720306396484375
split-1,2023-07-10,13,2023-05-15,2023-07-09,54,False,True,0.52355670928955078,-1.7863554954528809
split-1,2023-07-10,21,2023-05-15,2023-07-09,54,False,True,-0.11241340637207031,0.46571159362792969
split-1,2023-07-10,35,2023-05-15,2023-07-09,54,False,True,2.0793609619140625,2.8344893455505371
split-1,2023-07-10,82,2023-05-15,2023-07-09,54,False,True,1.7099809646606445,0.1813507080078125
