date,product,contextFirstDate,contextLastDate,calendarSlots,observedSlots,nanSlots,contextSha256
2023-05-17,21,2021-12-21,2023-05-16,512,382,130,fdb60f3d1f9e3722ee0e8e73b95d79cc9ac0be44e87ba8b88c970fb4c32bd678
2023-05-17,35,2021-12-21,2023-05-16,512,378,134,27a3efe6a9a497aaac73fb7084d5a01796d392f54ec997afc894b2cbb6f1314b
2023-05-17,82,2021-12-21,2023-05-16,512,375,137,bd8c4e9fd7cd5c5ebfd579432a87f9d5af08168b1cf406c469aaf01b30c3c852
2023-05-18,11,2021-12-22,2023-05-17,512,384,128,5a63f7c5c1a7c80711bf2390af5244c22ee49c1bb357f38ad29bcc90e35bb82f
2023-05-18,12,2021-12-22,2023-05-17,512,376,136,3724ea161b0502d41cc4fa7317fde9fd7991fc6fd9eb2f16e12b536934f6cebe
2023-05-18,13,2021-12-22,2023-05-17,512,382,130,94957a0ecf15c55757347bb74e67221de8fb31396db2991dcc8766cfa93a636b
2023-05-18,21,2021-12-22,2023-05-17,512,383,129,a93223ba92b3fea52947d0980d18f10530d8f73db42d29e7b0b48836257de819
2023-05-18,35,2021-12-22,2023-05-17,512,379,133,d877b920283c1bf75ba886f6528e7fe9f89f9ff610da78b05362ed73625214d4
2023-05-18,82,2021-12-22,2023-05-17,512,376,136,40a44ae76ad9034acb6f8ff22055e9df17f3f559921a44ebac7c987d2bab1898
2023-05-19,11,2021-12-23,2023-05-18,512,385,127,6917140631873cffa7340c39dc7eb6f39bebe6f8fd8333dd1af483c1d2b5bfae
2023-05-19,12,2021-12-23,2023-05-18,512,377,135,e43b039de4f10aecc255b90820c8fabee3f6e4de8e3ac2356a0ededaff124de8
2023-05-19,13,2021-12-23,2023-05-18,512,383,129,ef5c07675ba53e37cd9c9ff693c4e4d6f089e507b99feacbe6fdc0864daa0473
2023-05-19,21,2021-12-23,2023-05-18,512,384,128,ffd06b18957e93865c6f991890d82bfcdecfa574baca8f04b53aa1adb975a35e
2023-05-19,35,2021-12-23,2023-05-18,512,380,132,e1ef0e64e720264fb590131b3de5be179fe199a6e26db064c2346dfb7d567a5c
2023-05-19,82,2021-12-23,2023-05-18,512,377,135,46bd7f8e1b4a98add75eaedd22262f7921b33e7a00bb6693d65041b469b21287
2023-05-20,11,2021-12-24,2023-05-19,512,386,126,a4bfe570a7919407b8997d57c0b932fdb0437ac2db5254783f04b9ce1e165b66
2023-05-20,12,2021-12-24,2023-05-19,512,378,134,3f7969dd862c73caf1f8f3ca6539b129ff653bdd3ee940d4bcc9b74218626851
2023-05-20,13,2021-12-24,2023-05-19,512,384,128,8c38c6bd3487f55de49b513660f26c43700fef426066b37383a201f605579b5c
2023-05-20,21,2021-12-24,2023-05-19,512,385,127,bfe6a5c387a597ab441d661573e7ef7703255dcfb77189c1bab445a75458e5fb
2023-05-20,35,2021-12-24,2023-05-19,512,381,131,0c20ee2ec8b8d9a310a3b078e9a9fc9bafe7a68abb8ee552b31dac95df1a81ed
2023-05-20,82,2021-12-24,2023-05-19,512,378,134,63679574071cce6c9844d501b2b40e9a48e474330e8486991c683cbd73a60180
2023-05-21,11,2021-12-25,2023-05-20,512,387,125,cfc66bee46b2e916645de5e44d5be5a9e3f277b86368406ac77add824ab9c387
2023-05-21,12,2021-12-25,2023-05-20,512,379,133,7c717c7d16448b4e5b9da3f53b1804944f247eab2d646bd863e9281fdd36f25c
2023-05-21,13,2021-12-25,2023-05-20,512,385,127,c4037a03befafad095b7f9466a740fc86d76871bf1a1a9a94eeda2e833ffc402
2023-05-21,21,2021-12-25,2023-05-20,512,386,126,ccfddb241fea87523762854e8487f1f6d4311b9ad91619bc06855c6f9bc9499c
2023-05-21,35,2021-12-25,2023-05-20,512,382,130,bd9d5d6648346e01d8b01928a898cc3dee70d7b4f9bf17012462279be92800ed
2023-05-21,82,2021-12-25,2023-05-20,512,379,133,a28257bbd2f92f00d89554d891ac34f4829b11ce218e3ca6c0f37007b9c90518
2023-05-22,11,2021-12-26,2023-05-21,512,388,124,ac78c1ab723d539a1c65ad11843408a3726e2374bb0ad5d4fc13715546e7f826
2023-05-22,12,2021-12-26,2023-05-21,512,380,132,2a92c45fa63bd43e32707f0f5ec947128c62ee26dded4b879017b785cef01eec
2023-05-22,13,2021-12-26,2023-05-21,512,386,126,c8dabbaae37f6ff7f293671454ef0cb98a2281b5f0ef23930598824c2881a476
2023-05-22,21,2021-12-26,2023-05-21,512,387,125,0f63b01d1735628d24d47c466d7d862df703bf7b485a60688df3957ea038d9f9
2023-05-22,35,2021-12-26,2023-05-21,512,383,129,9a7c85a66c3041f5c4a032a38827ba6605962d4fe9c9ce756b0946ef88fa3447
2023-05-22,82,2021-12-26,2023-05-21,512,380,132,b7e4559ec2abecdca7c20904fb98e5843d7080e77b8d97d822e4a580b70e1a02
2023-05-23,11,2021-12-27,2023-05-22,512,389,123,98ef645c747f8af1ebde70629366fcc45438cbcbcbdbac32821a06b070f2eeb6
2023-05-23,12,2021-12-27,2023-05-22,512,381,131,6087983e66c8616f2685679590c244a434f0ba410928e3dfb96920734a0276d8
2023-05-23,13,2021-12-27,2023-05-22,512,387,125,62c406534b4ba1cdb9040bda2c4d4ab42d7678dd10dbad7814e82bcd57684d73
2023-05-23,21,2021-12-27,2023-05-22,512,388,124,2fe24f3309aeef9bded76720e4b1d362bcd61d3079b5a846dab2d95d0c34b9ed
2023-05-23,35,2021-12-27,2023-05-22,512,384,128,5da3f1be2d12a0eb49d401b27d582a39d83d49b82e72c33c2d7b5b143c1a6d49
2023-05-23,82,2021-12-27,2023-05-22,512,381,131,406094f49f1ad01d56d38606f8f3de08d7d8749fe633549713defc737b82d715
2023-05-24,11,2021-12-28,2023-05-23,512,390,122,8d3b162d96faf8d3749e5207b48135963f44b7cdb3d48947f6ec131d1034524a
2023-05-24,12,2021-12-28,2023-05-23,512,382,130,c6f297cd677c8840af20f684ca71abea4c4b29d32f8aa0807becd0de856ae10a
2023-05-24,13,2021-12-28,2023-05-23,512,388,124,5e755129c9d2d7963a0c65a23b131552c6fa2b7d8c02f1af9290df7898d16f81
2023-05-24,21,2021-12-28,2023-05-23,512,389,123,a67793c0d45ed7a5c8d3ff60ee47c1f9cc3b8c511b48491ea46714190fffc590
2023-05-24,35,2021-12-28,2023-05-23,512,385,127,4ea629d29c1f663eaba547d4051c5edbaf3cb083557b87bca1b575c3ddd2ed70
2023-05-24,82,2021-12-28,2023-05-23,512,382,130,c032b2d98cb4042ddbb4411b8605ddc881c688e8eb0baa06054f766dc8d06fd3
2023-05-25,11,2021-12-29,2023-05-24,512,391,121,f1ad40466caa38043e89eeeaec78cb141503d85ca925f057a25a27acfe22805d
2023-05-25,12,2021-12-29,2023-05-24,512,383,129,8522e3ab90e3e4438293484d5530eb94a87a6757534aeaa3b7e6e3a879e37d4a
2023-05-25,13,2021-12-29,2023-05-24,512,389,123,44e3450758a5874768a61ee690dac13af66273b92972de03d00a99425e2fec01
2023-05-25,21,2021-12-29,2023-05-24,512,390,122,e1f25e6a5019c4924e9cda3bd7c97645e906f40b65a448a02cee17a43f58d31f
2023-05-25,35,2021-12-29,2023-05-24,512,386,126,221afa7da19871ccc3f3a892e06d6f3ee5747619ca52992c8d31f6110fc02276
2023-05-25,82,2021-12-29,2023-05-24,512,383,129,0756d726652cda852ed63395e629a58e8689743924efc17236e96a00fa5ee32c
2023-05-26,11,2021-12-30,2023-05-25,512,392,120,e73e35c48b5fd027ea23a2dcbc34a2195bac1fde512bb09294ec601a4588a3c7
2023-05-26,12,2021-12-30,2023-05-25,512,384,128,ecd42130d2fa5b9bba5a9798bf23a883a91f1f48982df783aaf63cfc10edb9aa
2023-05-26,13,2021-12-30,2023-05-25,512,390,122,4b75b90d114936fa0a9b0d24c493005b1a75653b6a85565c3594a8bb6a4c7eb7
2023-05-26,21,2021-12-30,2023-05-25,512,391,121,97a08466a21c87f3495cf82c9f563f0ccf36eb92712a6fd88010607917385612
2023-05-26,35,2021-12-30,2023-05-25,512,387,125,6768f6206d4edd7d9af23fd20fe91ce14a0a00274def3db944d0d42a6febf3af
2023-05-26,82,2021-12-30,2023-05-25,512,384,128,34dfeaf5d0fbdd65fc4795c14776f2260e2c1671f75f7542aebbb26d026a4b75
2023-05-27,11,2021-12-31,2023-05-26,512,393,119,c137f4efc099c98ee64e8014379b608a74cc07c4bb7db19f6eee169d4575e1bc
2023-05-27,12,2021-12-31,2023-05-26,512,385,127,c472389e89d8468a3a271518ce21300ad01992904a8e94e104c8f6277b06864d
2023-05-27,13,2021-12-31,2023-05-26,512,391,121,6a3c3bc475be94086822ae5b3fbdce16aa30b04c7dd4297ab5b45921e336e27d
2023-05-27,21,2021-12-31,2023-05-26,512,392,120,18fe33c6538116f76f6c393fa3f24e6332e0a5e4c8465ebe9437a0b9e019f399
2023-05-27,35,2021-12-31,2023-05-26,512,388,124,a03109bf1d132d725e93c4dcfcf80ceb97d9b7a293f495b2fbfd75d74d2e11d5
2023-05-27,82,2021-12-31,2023-05-26,512,385,127,9ea1fb7ad26cf29efc1d505d3a30329f475a43b8c96d66bbfa42855e4865c5fe
2023-05-28,11,2022-01-01,2023-05-27,512,394,118,f7c7528401bab3294a82729ae6128d4a629a917416ff6686f5995ce24a4db066
2023-05-28,12,2022-01-01,2023-05-27,512,386,126,f7f03a0894286bdc3abbed480ea5529faa24044109c3d452856b7c1647a5576a
2023-05-28,13,2022-01-01,2023-05-27,512,392,120,404b5ea00d1f3a4971fb4d90bf184adbb6dd0bf70fae3b3ee368a9816a5a4069
2023-05-28,21,2022-01-01,2023-05-27,512,393,119,db4fcaa7742d081eb64d72981b63a8b3fddabedf05da7f7bbcabb55aea07543f
2023-05-28,35,2022-01-01,2023-05-27,512,389,123,048181e5a63160e2efe2ec515731e2207915f6e588d98b73c7afdbea92276f4a
2023-05-28,82,2022-01-01,2023-05-27,512,386,126,002b2cab438550f73e5c5a78d4478b16802048230a4577e47167012637458e84
2023-05-29,11,2022-01-02,2023-05-28,512,394,118,75a2f0ddf854c3ba8edcbbfcbd01c8fd0e97990e19af954c99d91a2b8768ea49
2023-05-29,12,2022-01-02,2023-05-28,512,386,126,0c14cfbfb5ba3e6e2cd91c0562f90030a8fce008ea54dc1f5fefa7b7f238e0b2
2023-05-29,13,2022-01-02,2023-05-28,512,392,120,f59d8988c4dc0a0e642aa9c976257739ec1bde1f9176be2a884411dfb39b276f
