variantId,splitId,date,product,weightCutoffExclusive,weightLatestOutcome,weightRows,residualFirstOutcome,residualLatestOutcome,residualRows,newObservedHistoryUsed,correctionP50,correctionP75,weight_extra-trees,weight_catboost,weight_scaled-catboost,weight_spline-ridge,weight_weekday-8
custom-residual-only,split-2,2023-09-11,11,2023-08-04,2023-08-03,166,2023-07-17,2023-09-10,56,True,2.3601430828858811,1.5532820462127372,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-11,12,2023-08-04,2023-08-03,166,2023-07-17,2023-09-10,54,True,-0.10623035759367537,-0.4330565333783975,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-11,13,2023-08-04,2023-08-03,166,2023-07-17,2023-09-10,56,True,0.035600934816814089,1.2055385180545124,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-11,21,2023-08-04,2023-08-03,166,2023-07-17,2023-09-10,56,True,2.9256901692027371,2.7124610576507187,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-11,35,2023-08-04,2023-08-03,166,2023-07-17,2023-09-10,56,True,5.4232619809907936,4.950166381167814,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-11,82,2023-08-04,2023-08-03,166,2023-07-17,2023-09-10,56,True,0.41251290525609374,0.61564024370472015,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-12,11,2023-08-04,2023-08-03,166,2023-07-18,2023-09-11,56,True,2.2349221119369189,1.9325473280492098,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-12,12,2023-08-04,2023-08-03,166,2023-07-18,2023-09-11,54,True,-0.10217576379239005,-0.41652765805861131,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-12,13,2023-08-04,2023-08-03,166,2023-07-18,2023-09-11,56,True,-0.11250960087046058,0.81830688995941214,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-12,21,2023-08-04,2023-08-03,166,2023-07-18,2023-09-11,56,True,1.7777832383058221,2.6150784802744669,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-12,35,2023-08-04,2023-08-03,166,2023-07-18,2023-09-11,56,True,5.2299723147731649,4.7737382442104961,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-12,82,2023-08-04,2023-08-03,166,2023-07-18,2023-09-11,56,True,0.3953064846090481,0.58996113193521837,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-13,11,2023-08-04,2023-08-03,166,2023-07-19,2023-09-12,56,True,1.3247536030311371,1.4296644439189898,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-13,12,2023-08-04,2023-08-03,166,2023-07-19,2023-09-12,54,True,-0.080272105183018305,-0.04377725464065918,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-13,13,2023-08-04,2023-08-03,166,2023-07-19,2023-09-12,56,True,-0.76687922063109459,0.30280707555100345,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-13,21,2023-08-04,2023-08-03,166,2023-07-19,2023-09-12,56,True,1.1489006911822728,1.8796102605808167,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-13,35,2023-08-04,2023-08-03,166,2023-07-19,2023-09-12,56,True,4.8291678988078903,4.0350622017935516,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-13,82,2023-08-04,2023-08-03,166,2023-07-19,2023-09-12,56,True,0.36549316165209145,0.57086640779892228,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-14,11,2023-08-04,2023-08-03,166,2023-07-20,2023-09-13,56,True,1.3380343409061359,1.8972389115805883,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-14,12,2023-08-04,2023-08-03,166,2023-07-20,2023-09-13,54,True,-0.099202395004780813,-0.043658294709570437,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-14,13,2023-08-04,2023-08-03,166,2023-07-20,2023-09-13,56,True,-0.76856097330791728,0.79567286959883277,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-14,21,2023-08-04,2023-08-03,166,2023-07-20,2023-09-13,56,True,1.1553794544784135,2.5414477510387647,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-14,35,2023-08-04,2023-08-03,166,2023-07-20,2023-09-13,56,True,4.8678575178078081,4.6957027220947598,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-14,82,2023-08-04,2023-08-03,166,2023-07-20,2023-09-13,56,True,0.38383553751101773,1.0074726228051001,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-15,11,2023-08-04,2023-08-03,166,2023-07-21,2023-09-14,56,True,0.37273618360220212,1.86663828397445,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-15,12,2023-08-04,2023-08-03,166,2023-07-21,2023-09-14,54,True,-0.10136484503213297,0.10407921516779085,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-15,13,2023-08-04,2023-08-03,166,2023-07-21,2023-09-14,56,True,-0.10664473869742594,0.77565046697216622,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
